   8.7879047      0    0.0163651    0.0005356
   7.9120898      1    0.0000000    0.0000000
   4.8672099      2    0.0000000    0.0000000
   8.9818869      3    0.0405169    0.0032062
   7.9206047      4    0.0050254    0.0000505
  52.8705826      5    0.0000000    0.0000000
   4.6724467      6    0.0674167    0.0068338
   5.1196966      7    0.0799632    0.0097870
   7.4725151      8    0.2889848    0.2986294
  51.9581718      9    0.0000000    0.0000000
   8.6179056     10    0.0707254    0.0082360
   8.3030300     11    0.0000000    0.0000000
   6.5262761     12    0.4572263    0.6064341
   8.2042542     13    0.0195456    0.0007640
   8.0685024     14    0.0571775    0.0047756
