8.804270  EV00123.BHRi 1
7.281740  EV00128.BHRi 9
7.474450  EV00133.BHRi 9
8.771540  EV00152.BHRi 1
7.499760  EV00180.BHRi 9
4.867210  EV00220.BHRi 3
8.547180  EV00306.BHRi 11
5.199660  EV00318.BHRi 8
8.125680  EV00478.BHRi 15
7.281180  EV00570.BHRi 9
6.718130  EV00584.BHRi 13
6.730400  EV00588.BHRi 13
7.283470  EV00595.BHRi 9
8.941370  EV00823.BHRi 4
7.761500  EV00847.BHRi 9
7.334440  EV00934.BHRi 9
8.672410  EV00980.BHRi 11
5.069820  EV00985.BHRi 8
7.576380  EV01041.BHRi 9
6.583730  EV01126.BHRi 13
6.631620  EV01159.BHRi 13
6.375010  EV01195.BHRi 13
7.912090  EV01219.BHRi 2
6.176710  EV01282.BHRi 13
8.982860  EV01348.BHRi 4
7.925630  EV01538.BHRi 5
8.033330  EV01543.BHRi 15
8.053820  EV01656.BHRi 15
7.484710  EV01680.BHRi 9
6.925560  EV01750.BHRi 13
4.709010  EV01751.BHRi 7
5.089610  EV01787.BHRi 8
6.069050  EV01833.BHRi 13
4.703300  EV01922.BHRi 7
7.747520  EV01941.BHRi 9
7.915580  EV02486.BHRi 5
8.303030  EV02678.BHRi 12
8.223800  EV02714.BHRi 14
8.184710  EV02759.BHRi 14
4.605030  EV02762.BHRi 7
8.061180  EV03120.BHRi 15
8.634130  EV03193.BHRi 11
9.021430  EV03451.BHRi 4
