8.80427   EV00123.BHRi
7.28174   EV00128.BHRi
7.47445   EV00133.BHRi
8.77154   EV00152.BHRi
7.49976   EV00180.BHRi
4.86721   EV00220.BHRi
8.54718   EV00306.BHRi
5.19966   EV00318.BHRi
8.12568   EV00478.BHRi
7.28118   EV00570.BHRi
6.71813   EV00584.BHRi
 6.7304   EV00588.BHRi
7.28347   EV00595.BHRi
8.94137   EV00823.BHRi
 7.7615   EV00847.BHRi
7.33444   EV00934.BHRi
8.67241   EV00980.BHRi
5.06982   EV00985.BHRi
7.57638   EV01041.BHRi
6.58373   EV01126.BHRi
6.63162   EV01159.BHRi
6.37501   EV01195.BHRi
7.91209   EV01219.BHRi
6.17671   EV01282.BHRi
8.98286   EV01348.BHRi
7.92563   EV01538.BHRi
8.03333   EV01543.BHRi
8.05382   EV01656.BHRi
7.48471   EV01680.BHRi
6.92556   EV01750.BHRi
4.70901   EV01751.BHRi
5.08961   EV01787.BHRi
6.06905   EV01833.BHRi
 4.7033   EV01922.BHRi
7.74752   EV01941.BHRi
7.91558   EV02486.BHRi
8.30303   EV02678.BHRi
 8.2238   EV02714.BHRi
8.18471   EV02759.BHRi
4.60503   EV02762.BHRi
8.06118   EV03120.BHRi
8.63413   EV03193.BHRi
9.02143   EV03451.BHRi
